The Classics II Suite Composition Table								
Number	"Plate number, well (24-well plates)"	"Well (96-well plates)"	Chemical 1	Chemical 2	Chemical 3	Chemical 4	Chemical 5	"Cat. No.  (Refill-Hit Solution, 4 x 12,5 ml tubes)"
1	 1,A1	A1	0.1 M Citric acid pH 3.5	2 M Ammonium sulfate 		  	  	136101
2	 1,A2	A2	0.1 M Sodium acetate pH 4.5	2 M Ammonium sulfate 		  	  	136102
3	 1,A3	A3	0.1 M BIS-TRIS pH 5.5	2 M Ammonium sulfate 		  	  	136103
4	 1,A4	A4	0.1 M BIS-TRIS pH 6.5	2 M Ammonium sulfate 		  	  	136104
5	 1,A5	A5	0.1 M HEPES pH 7.5	2 M Ammonium sulfate 		  	  	136105
6	 1,A6	A6	0.1 M TRIS pH 8.5	2 M Ammonium sulfate 		  	  	136106
7	 1,B1	A7	0.1 M Citric acid pH 3.5	3 M Sodium chloride		  	  	136107
8	 1,B2	A8	0.1 M Sodium acetate pH 4.5	3 M Sodium chloride		  	  	136108
9	 1,B3	A9	0.1 M BIS-TRIS pH 5.5	3 M Sodium chloride		  	  	136109
10	 1,B4	A10	0.1 M BIS-TRIS pH 6.5	3 M Sodium chloride		  	  	136110
11	 1,B5	A11	0.1 M HEPES pH 7.5	3 M Sodium chloride		  	  	136111
12	 1,B6	A12	0.1 M TRIS pH 8.5	3 M Sodium chloride		  	  	136112
13	 1,C1	B1	0.1 M BIS-TRIS pH 5.5	0.3 M Magnesium formate		  	  	136113
14	 1,C2	B2	0.1 M BIS-TRIS pH 6.5	0.5 M Magnesium formate		  	  	136114
15	 1,C3	B3	0.1 M HEPES pH 7.5	0.5 M Magnesium formate		  	  	136115
16	 1,C4	B4	0.1 M TRIS pH 8.5	0.3 M Magnesium formate		  	  	136116
17	 1,C5	B5	1.26 M Sodium phosphate	0.14 M Potassium phosphate			  	136117
18	 1,C6	B6	0.49 M Sodium phosphate	0.91 M Potassium phosphate			  	136118
19	 1,D1	B7	0.056 M Sodium phosphate	1.344 M Potassium phosphate			  	136119
20	 1,D2	B8	0.1 M HEPES pH 7.5	1.4 M Sodium citrate		  	  	136120
21	 1,D3	B9	1.8 M Ammonium citrate pH 7.0	   		  	  	136121
22	 1,D4	B10	0.8 M Succinic acid pH 7.0	   		  	  	136122
23	 1,D5	B11	2.1 M DL-Malic acid pH 7.0	   		  	  	136123
24	 1,D6	B12	2.8 M Sodium acetate pH 7.0	   		  	  	136124
25	 2,A1	C1	3.5 M Sodium formate pH 7.0	   		  	  	136125
26	 2,A2	C2	1.1 M Ammonium tartrate pH 7.0	   		  	  	136126
27	 2,A3	C3	2.4 M Sodium malonate pH 7.0	   		  	  	136127
28	 2,A4	C4	0.56 M Sodium citrate pH 7.0	   		  	  	136128
29	 2,A5	C5	0.96 M Sodium citrate pH 7.0	   		  	  	136129
30	 2,A6	C6	0.1 M Sodium chloride	0.1 M BIS-TRIS pH 6.5	1.5 M Ammonium sulfate 	  	  	136130
31	 2,B1	C7	0.8 M Sodium/Potassium tartrate	0.1 M TRIS pH 8.5	0.5 %(w/v) PEG 5000 MME	  	  	136131
32	 2,B2	C8	1 M Ammonium sulfate 	0.1 M BIS-TRIS pH 5.5	1 %(w/v) PEG 3350	  	  	136132
33	 2,B3	C9	1.1 M Sodium malonate pH 7.0	0.1 M HEPES pH 7.0	0.5 %(v/v) Jeffamine ED-2001 pH 7.0	  	  	136133
34	 2,B4	C10	1 M Succinic acid pH 7.0	0.1 M HEPES pH 7.0	1 %(w/v) PEG 2000 MME	  	  	136134
