The Classics Lite Suite Composition Table								
								
Number	"Plate number, well
(24-well plates)"	"Well
(96-well plates)"	Salt 1	Salt 2	Buffer	Precipitant 1	Precipitant 2	"Cat. No.
(Refill-Hit Solution,
4 x 12,5 ml tubes)"
1	 1,A1	A1	0.01 M Cobalt chloride 		0.1 M Sodium acetate pH 4.6	0.5 M 1,6-Hexanediol		134101
2	 1,A2	A2			0.1 M tri-Sodium citrate pH 5.6	1.25 M 1,6-Hexanediol		134102
3	 1,A3	A3	0.2 M Magnesium chloride 		0.1 M TRIS pH 8.5	1.7 M 1,6-Hexanediol		134103
4	 1,A4	A4				2.5 %(v/v) Isopropanol	1.0 M Ammonium sulfate	134104
5	 1,A5	A5			0.1 M HEPES sodium salt pH 7.5	5 %(v/v) Isopropanol	10 %(w/v) PEG 4000	134105
6	 1,A6	A6	0.2 M Calcium chloride 		0.1 M Sodium acetate pH 4.6	10 %(v/v) Isopropanol		134106
7	 1,B1	A7			0.1 M tri-Sodium citrate pH 5.6	10 %(v/v) Isopropanol	10 %(w/v) PEG 4000	134107
8	 1,B2	A8	0.2 M tri-Sodium citrate 		0.1 M HEPES sodium salt pH 7.5	10 %(v/v) Isopropanol		134108
9	 1,B3	A9	0.2 M tri-Sodium citrate 		0.1 M Sodium cacodylate pH 6.5	15 %(v/v) Isopropanol		134109
10	 1,B4	A10	0.2 M Magnesium chloride 		0.1 M HEPES sodium salt pH 7.5	15 %(v/v) Isopropanol		134110
11	 1,B5	A11	0.2 M Ammonium acetate 		0.1 M TRIS.HCl pH 8.5	15 %(v/v) Isopropanol		134111
12	 1,B6	A12				5 %(v/v) Ethanol	0.75 M Sodium chloride	134112
13	 1,C1	B1			0.1 M TRIS pH 8.5	10 %(v/v) Ethanol		134113
14	 1,C2	B2				12.5 %(v/v) Ethylene glycol		134114
15	 1,C3	B3	0.02 M Calcium chloride 		0.1 M Sodium acetate pH 4.6	15 %(v/v) MPD		134115
16	 1,C4	B4	0.2 M Sodium chloride 		0.1 M Sodium acetate pH 4.6	15 %(v/v) MPD		134116
17	 1,C5	B5	0.2 M Ammonium acetate 		0.1 M tri-Sodium citrate pH 5.6	15 %(v/v) MPD		134117
18	 1,C6	B6	0.2 M Magnesium acetate 		0.1 M Sodium cacodylate pH 6.5	15 %(v/v) MPD		134118
19	 1,D1	B7	0.2 M tri-Sodium citrate 		0.1 M HEPES sodium salt pH 7.5	15 %(v/v) MPD		134119
20	 1,D2	B8	0.5 M Ammonium sulfate 		0.1 M HEPES pH 7.5	15 %(v/v) MPD		134120
21	 1,D3	B9	0.2 M Ammonium phosphate 		0.1 M TRIS pH 8.5	25 %(v/v) MPD		134121
22	 1,D4	B10			0.1 M HEPES pH 7.5	35 %(v/v) MPD		134122
23	 1,D5	B11			0.1 M TRIS pH 8.5	12.5 %(v/v) tert-Butanol		134123
24	 1,D6	B12			0.1 M tri-Sodium citrate pH 5.6	17.5 %(v/v) tert-Butanol		134124
25	 2,A1	C1				0.2 M Ammonium phosphate		134125
26	 2,A2	C2			0.1 M tri-Sodium citrate pH 5.6	0.5 M Ammonium phosphate		134126
27	 2,A3	C3			0.1 M TRIS.HCl pH 8.5	1.0 M Ammonium phosphate		134127
28	 2,A4	C4			0.1 M HEPES pH 7.5	1.0 M Ammonium formate		134128
29	 2,A5	C5			0.1 M Sodium acetate pH 4.6	1.0 M Ammonium sulfate		134129
30	 2,A6	C6			0.1 M TRIS.HCl pH 8.5	1.0 M Ammonium sulfate		134130
31	 2,B1	C7				1.0 M Ammonium sulfate		134131
32	 2,B2	C8	0.1 M Sodium chloride 		0.1 M HEPES pH 7.5	0.8 M Ammonium sulfate 		134132
33	 2,B3	C9	0.01 M Cobalt chloride 		0.1 M MES pH 6.5	0.9 M Ammonium sulfate 		134133
34	 2,B4	C10	0.2 M K/Na tartrate 		0.1 M tri-Sodium citrate pH 5.6	1 M Ammonium sulfate 		134134
35	 2,B5	C11				0.5 M Imidazole pH 7.0		134135
36	 2,B6	C12				0.2 M K/Na tartrate		134136
37	 2,C1	D1			0.1 M HEPES sodium salt pH 7.5	0.4 M K/Na tartrate		134137
38	 2,C2	D2			0.1 M Imidazole pH 6.5	0.5 M Sodium acetate 		134138
39	 2,C3	D3	0.05 M Cadmium sulfate 		0.1 M HEPES pH 7.5	0.5 M Sodium acetate 		134139
40	 2,C4	D4			0.1 M Sodium cacodylate pH 6.5	0.7 M Sodium acetate 		134140
