The ComPAS Suite Composition Table								
								
Number	"Plate number, well
(24-well plates)"	"Well
(96-well plates)"	Salt 1	Salt 2	Buffer 	Precipitant 1	Precipitant 2	"Cat. No.
(Refill-Hit Solution,
4 x 12,5 ml tubes)"
1	 1,A1	A1	0.1 M Potassium chloride			12 %(w/v) PEG 8000	5 %(w/v) Glycerol	135601
2	 1,A2	A2	0.5 M Potassium chloride			12 %(w/v) PEG 8000	10 %(w/v) Glycerol	135602
3	 1,A3	A3	0.2 M Ammonium sulfate			15 %(w/v) PEG 8000		135603
4	 1,A4	A4	0.5 M Lithium sulfate			15 %(w/v) PEG 8000		135604
5	 1,A5	A5	0.2 M Sodium acetate 		0.1 M MES sodium salt pH 6.5	15 %(w/v) PEG 8000		135605
6	 1,A6	A6	0.05 M Ammonium sulfate	0.1 M tri-Sodium citrate		15 %(w/v) PEG 8000		135606
7	 1,B1	A7	0.2 M Calcium acetate		0.1 M HEPES sodium salt pH 7.5	18 %(w/v) PEG 8000		135607
8	 1,B2	A8	0.1 M Sodium acetate 		0.1 M HEPES sodium salt pH 7.5	18 %(w/v) PEG 8000	2 %(w/v) Isopropanol	135608
9	 1,B3	A9	0.2 M Lithium sulfate		0.1 M TRIS.HCl pH 8.5	18 %(w/v) PEG 8000		135609
10	 1,B4	A10			0.1 M HEPES sodium salt pH 7.5	20 %(w/v) PEG 8000		135610
11	 1,B5	A11	0.2 M Magnesium acetate		0.1 M MES sodium salt pH 6.5	20 %(w/v) PEG 8000		135611
12	 1,B6	A12			0.1 M CHES pH 9.5	20 %(w/v) PEG 8000		135612
13	 1,C1	B1	0.2 M Ammonium sulfate		0.1 M MES sodium salt pH 6.5	22 %(w/v) PEG 8000		135613
14	 1,C2	B2	0.2 M Lithium chloride			25 %(w/v) PEG 8000		135614
15	 1,C3	B3	0.2 M Ammonium sulfate			30 %(w/v) PEG 8000		135615
16	 1,C4	B4			0.1 M Sodium acetate pH 4.6	8 %(w/v) PEG 10000		135616
17	 1,C5	B5			0.1 M Imidazole.HCl pH 8.0	14 %(w/v) PEG 10000		135617
18	 1,C6	B6			0.1 M TRIS.HCl pH 8.5	16 %(w/v) PEG 10000		135618
19	 1,D1	B7	0.1 M Sodium chloride		0.1 M TRIS.HCl pH 8.5	18 %(w/v) PEG 10000	20 %(w/v) Glycerol	135619
20	 1,D2	B8			0.1 M HEPES sodium salt pH 7.5	20 %(w/v) PEG 10000		135620
21	 1,D3	B9			0.1 M TRIS.HCl pH 8.5	30 %(w/v) PEG 10000		135621
22	 1,D4	B10			0.1 M MES sodium salt pH 6.5	10 %(w/v) PEG 20000		135622
23	 1,D5	B11	0.1 M Magnesium chloride		0.1 M TRIS.HCl pH 8.5	17 %(w/v) PEG 20000		135623
24	 1,D6	B12				20 %(w/v) PEG 20000		135624
25	 2,A1	C1	0.01 M Sodium acetate 			50 %(w/v) MPD	15 %(w/v) Ethanol	135625
26	 2,A2	C2	0.05 M Sodium acetate 	0.05M Sodium chloride		50 %(w/v) MPD	20 %(w/v) Isopropanol	135626
27	 2,A3	C3	0.1 M Ammonium phosphate		0.1 M TRIS.HCl pH 8.5	50 %(w/v) MPD		135627
28	 2,A4	C4				55 %(w/v) MPD		135628
29	 2,A5	C5	0.01 M Calcium chloride		0.1 M Sodium acetate pH 4.6	60 %(w/v) MPD		135629
30	 2,A6	C6	0.02 M Sodium acetate 			60 %(w/v) MPD		135630
31	 2,B1	C7			0.1 M MES sodium salt pH 6.5	70 %(w/v) MPD		135631
32	 2,B2	C8			0.1 M TRIS.HCl pH 8.5	70 %(w/v) MPD		135632
33	 2,B3	C9	0.01 M Calcium chloride		0.1 M TRIS.HCl pH 8.5	20 %(w/v) Methanol		135633
34	 2,B4	C10			0.1 M TRIS.HCl pH 8.5	2 %(w/v) Ethanol		135634
