The MbClass Suite Composition Table									
									
Number	"Plate number, well
(24-well plates)"	"Well
(96-well plates)"	Salt 1	Salt 2	Buffer 	Precipitant 1 	Precipitant 2	Precipitant 3	"Cat. No.
(Refill-Hit Solution,
4 x 12,5 ml tubes)"
1	 1,A1	A1	0.1 M tri-Sodium citrate		0.1 M tri-Sodium citrate pH 5.6	10 %(v/v) Isopropanol 			135001
2	 1,A2	A2	0.1 M Sodium chloride		0.1 M Sodium acetate pH 4.6	12 %(v/v) Isopropanol 			135002
3	 1,A3	A3	0.2 M Calcium chloride		0.1 M Sodium acetate pH 4.6	30 %(w/v) Isopropanol	20 %(w/v) Glycerol		135003
4	 1,A4	A4	 		0.1 M TRIS.HCl pH 8.5	0.5 M Ammonium sulfate 			135004
5	 1,A5	A5	 		1 M Na/K phosphate pH 7.5	0.7 M Ammonium sulfate 			135005
6	 1,A6	A6	 		0.1 M ADA pH 6.5	1.0 M Ammonium sulfate 			135006
7	 1,B1	A7	 		0.1 M TRIS.HCl pH 8.5	1.2 M Ammonium sulfate 			135007
8	 1,B2	A8	0.1 M Ammonium acetate		 	1.4 M Ammonium sulfate	4 %(w/v) Isopropanol		135008
9	 1,B3	A9	 		0.1 M tri-Sodium citrate pH 5.6	2.0 M Ammonium sulfate 			135009
10	 1,B4	A10	0.25 M Sodium chloride		0.05 M Na/K phosphate pH 7.5	3.5 M Ammonium sulfate 			135010
11	 1,B5	A11	 		0.1 M ADA pH 6.5	1.0 M di-Ammonium phosphate 			135011
12	 1,B6	A12	0.1 M Ammonium sulfate 		0.1 M HEPES sodium salt pH 7.5	0.5 M di-Sodium phosphate	0.5 M di-Potassium phosphate		135012
13	 1,C1	B1	0.1 M di-Ammonium phosphate		0.1 M TRIS.HCl pH 8.5	0.5 M di-Sodium phosphate	0.5 M di-Potassium phosphate		135013
14	 1,C2	B2	0.5 M Lithium chloride 			1.0 M tri-Sodium citrate pH 5.6			135014
15	 1,C3	B3	 		0.1 M TRIS.HCl pH 8.5	0.2 M Lithium sulfate 			135015
16	 1,C4	B4	0.1 M K/Na tartrate		0.1 M TRIS.HCl pH 8.5	0.4 M Magnesium sulfate			135016
17	 1,C5	B5	0.1 M Magnesium chloride		0.1 M tri-Sodium citrate pH 5.6	4 %(v/v) MPD 			135017
18	 1,C6	B6	0.6 M Magnesium sulfate		0.1 M HEPES sodium salt pH 7.5	4 %(v/v) MPD 			135018
19	 1,D1	B7	0.1 M Sodium chloride		0.1 M Sodium acetate pH 4.6	12 %(v/v) MPD 			135019
20	 1,D2	B8	0.1 M Sodium chloride		0.1 M tri-Sodium citrate pH 5.6	12 %(v/v) MPD 			135020
21	 1,D3	B9	 		0.1 M ADA pH 6.5	12 %(v/v) MPD 			135021
22	 1,D4	B10	0.1 M tri-Sodium citrate		0.1 M HEPES sodium salt pH 7.5	12 %(v/v) MPD 			135022
23	 1,D5	B11	0.1 M Lithium sulfate		0.1 M TRIS.HCl pH 8.5	12 %(v/v) MPD 			135023
24	 1,D6	B12	0.1 M Sodium chloride		0.1 M TRIS.HCl pH 8.5	12 %(v/v) MPD 			135024
25	 2,A1	C1	 		0.1 M Bis-TRIS Propane pH 7.0	25 %(w/v) MPD 			135025
26	 2,A2	C2	 		0.3 M tri-Sodium citrate pH 5.6	30 %(w/v) MPD 			135026
27	 2,A3	C3	0.1 M Lithium sulfate		0.1 M tri-Sodium citrate pH 5.6	4 %(v/v) PEG 400 			135027
28	 2,A4	C4	0.3 M Lithium sulfate		0.1 M ADA pH 6.5	4 %(v/v) PEG 400 			135028
29	 2,A5	C5	0.6 M Magnesium sulfate		0.1 M HEPES sodium salt pH 7.5	4 %(v/v) PEG 400 			135029
30	 2,A6	C6	0.1 M tri-Sodium citrate		0.1 M TRIS.HCl pH 8.5	5 %(v/v) PEG 400 			135030
31	 2,B1	C7	0.2 M Calcium chloride		0.1 M HEPES sodium salt pH 7.5	15 %(w/v) PEG 400	15 %(w/v) Glycerol		135031
32	 2,B2	C8	0.1 M Magnesium chloride		0.1 M Sodium acetate pH 4.6	18 %(v/v) PEG 400 			135032
33	 2,B3	C9	0.1 M Sodium chloride		0.1 M tri-Sodium citrate pH 5.6	18 %(v/v) PEG 400 			135033
34	 2,B4	C10	0.1 M Magnesium chloride		0.1 M HEPES sodium salt pH 7.5	18 %(v/v) PEG 400 			135034
35	 2,B5	C11	0.1 M Ammonium sulfate 		0.1 M HEPES sodium salt pH 7.5	18 %(v/v) PEG 400 			135035
36	 2,B6	C12	0.05 M Magnesium acetate		0.05 M Sodium acetate pH 4.6	25 %(w/v) PEG 400 			135036
37	 2,C1	D1	0.05 M Sodium sulfate	0.05 M Lithium sulfate	0.05 M TRIS.HCl pH 8.5	30 %(w/v) PEG 400 			135037
38	 2,C2	D2	0.2 M Calcium chloride		0.1 M HEPES sodium salt pH 7.5	48 %(w/v) PEG 400 			135038
