The Nucleix Suite Composition Table									
									
Number	"Plate number, well
(24-well plates)"	"Well
(96-well plates)"	Buffer	Additive 1	Additive 2	Additive 3	Additive 4	Precipitant	"Cat. No.
(Refill-Hit Solution,
4 x 12,5 ml tubes)"
1	 1,A1	A1	0.05 M MES pH 5.6	0.01 M Magnesium chloride 	  			2 M Lithium sulfate 	135801
2	 1,A2	A2	0.05 M MES pH 5.6	0.01 M Magnesium acetate 	  			2.5 M Ammonium sulfate 	135802
3	 1,A3	A3	0.05 M MES pH 5.6	0.1 M Magnesium acetate 	  			20 %(v/v) MPD	135803
4	 1,A4	A4	0.05 M MES pH 5.6	0.2 M Potassium chloride	0.01 M Magnesium sulfate			10 %(v/v) PEG 400	135804
5	 1,A5	A5	0.05 M MES pH 5.6	0.2 M Potassium chloride	0.01 M Magnesium chloride 			5 %(w/v) PEG 8000	135805
6	 1,A6	A6	0.05 M MES pH 5.6	0.1 M Ammonium sulfate 	0.01 M Magnesium chloride 			20 %(w/v) PEG 8000	135806
7	 1,B1	A7	0.05 M MES pH 6.0	0.02 M Magnesium chloride 	  			15 %(v/v) Isopropanol	135807
8	 1,B2	A8	0.05 M MES pH 6.0	0.1 M Ammonium acetate	0.005 M Magnesium sulfate			0.6 M Sodium chloride	135808
9	 1,B3	A9	0.05 M MES pH 6.0	0.1 M Potassium chloride	0.01 M Magnesium chloride 			10 %(v/v) PEG 400	135809
10	 1,B4	A10	0.05 M MES pH 6.0	0.005 M Magnesium sulfate	  			5 %(w/v) PEG 4000	135810
11	 1,B5	A11	0.05 M Sodium cacodylate pH 6.0	0.01 M Magnesium chloride 	  			1 M Lithium sulfate 	135811
12	 1,B6	A12	0.05 M Sodium cacodylate pH 6.0	0.01 M Magnesium sulfate	  			1.8 M Lithium sulfate 	135812
13	 1,C1	B1	0.05 M Sodium cacodylate pH 6.0	0.015 M Magnesium acetate 	  			1.7 M Ammonium sulfate 	135813
