The Opti-Salts Suite Composition Table					
					
Number	"Plate number, well
(24-well plates)"	"Well
(96-well plates)"	Buffer  	Optimizer	"Cat. No.
(Refill-Hit Solution,
4 x 12,5 ml tubes)"
1	 1,A1	A1	1 M Sodium acetate pH 4.6		136001
2	 1,A2	A2			136002
3	 1,A3	A3	1 M Tris-HCl pH 8.5		136003
4	 1,A4	A4	0.1 M Sodium acetate pH 4.6	3.2 M Sodium chloride	136004
5	 1,A5	A5		3.2 M Sodium chloride	136005
6	 1,A6	A6	0.1 M Tris-HCl pH 8.5	3.2 M Sodium chloride	136006
7	 1,B1	A7	0.1 M Sodium acetate pH 4.6	2.4 M Sodium malonate	136007
8	 1,B2	A8		2.4 M Sodium malonate	136008
9	 1,B3	A9	0.1 M Tris-HCl pH 8.5	2.4 M Sodium malonate	136009
10	 1,B4	A10	0.1 M Sodium acetate pH 4.6	1.5 M Magnesium chloride	136010
11	 1,B5	A11		1.5 M Magnesium chloride	136011
12	 1,B6	A12	0.1 M Tris-HCl pH 8.5	1.5 M Magnesium chloride	136012
13	 1,C1	B1	0.1 M Sodium acetate pH 4.6		136013
14	 1,C2	B2		ddH2O	136014
15	 1,C3	B3	0.1 M Tris-HCl pH 8.5		136015
16	 1,C4	B4	0.1 M Sodium acetate pH 4.6	1.6 M Sodium chloride	136016
17	 1,C5	B5		1.6 M Sodium chloride	136017
18	 1,C6	B6	0.1 M Tris-HCl pH 8.5	1.6 M Sodium chloride	136018
19	 1,D1	B7	0.1 M Sodium acetate pH 4.6	1.2 M Sodium malonate	136019
20	 1,D2	B8		1.2 M Sodium malonate	136020
21	 1,D3	B9	0.1 M Tris-HCl pH 8.5	1.2 M Sodium malonate	136021
22	 1,D4	B10	0.1 M Sodium acetate pH 4.6	0.75 Magnesium chloride	136022
23	 1,D5	B11		0.75 Magnesium chloride	136023
24	 1,D6	B12	0.1 M Tris-HCl pH 8.5	0.75 Magnesium chloride	136024
