The Cations Suite Composition Table					
Number	"Plate number, well (24-well plates)"	"Well (96-well plates)"	Buffer 	Precipitant	"Cat. No.  (Refill-Hit Solution, 4 x 12,5 ml tubes)"
1	 1,A1	A1	0.1 M Sodium acetate pH 4.6	3.5 M Ammonium chloride	134701
2	 1,A2	A2	0.1 M Sodium acetate pH 4.6	1.75 M Ammonium chloride	134702
3	 1,A3	A3	0.1 M Sodium acetate pH 4.6	4.0 M Lithium chloride	134703
4	 1,A4	A4	0.1 M Sodium acetate pH 4.6	2.0 M Lithium chloride	134704
5	 1,A5	A5	0.1 M Sodium acetate pH 4.6	1.5 M Magnesium chloride	134705
6	 1,A6	A6	0.1 M Sodium acetate pH 4.6	0.75 M Magnesium chloride	134706
7	 1,B1	A7	0.1 M MES pH 6.5	3.5 M Ammonium chloride	134707
8	 1,B2	A8	0.1 M MES pH 6.5	1.75 M Ammonium chloride	134708
9	 1,B3	A9	0.1 M MES pH 6.5	4.0 M Lithium chloride	134709
10	 1,B4	A10	0.1 M MES pH 6.5	2.0 M Lithium chloride	134710
11	 1,B5	A11	0.1 M MES pH 6.5	1.5 M Magnesium chloride	134711
12	 1,B6	A12	0.1 M MES pH 6.5	0.75 M Magnesium chloride	134712
13	 1,C1	B1	0.1 M HEPES pH 7.5	3.5 M Ammonium chloride	134713
14	 1,C2	B2	0.1 M HEPES pH 7.5	1.75 M Ammonium chloride	134714
15	 1,C3	B3	0.1 M HEPES pH 7.5	4.0 M Lithium chloride	134715
16	 1,C4	B4	0.1 M HEPES pH 7.5	2.0 M Lithium chloride	134716
17	 1,C5	B5	0.1 M HEPES pH 7.5	1.5 M Magnesium chloride	134717
18	 1,C6	B6	0.1 M HEPES pH 7.5	0.75 M Magnesium chloride	134718
19	 1,D1	B7	0.1 M TRIS.HCl pH 8.5	3.5 M Ammonium chloride	134719
20	 1,D2	B8	0.1 M TRIS.HCl pH 8.5	1.75 M Ammonium chloride	134720
21	 1,D3	B9	0.1 M TRIS.HCl pH 8.5	4.0 M Lithium chloride	134721
22	 1,D4	B10	0.1 M TRIS.HCl pH 8.5	2.0 M Lithium chloride	134722
23	 1,D5	B11	0.1 M TRIS.HCl pH 8.5	1.5 M Magnesium chloride	134723
24	 1,D6	B12	0.1 M TRIS.HCl pH 8.5	0.75 M Magnesium chloride	134724
25	 2,A1	C1	0.1 M Sodium acetate pH 4.6	4.5 M Ammonium acetate	134725
26	 2,A2	C2	0.1 M Sodium acetate pH 4.6	2.25 M Ammonium acetate	134726
27	 2,A3	C3	0.1 M Sodium acetate pH 4.6	2.5 M Lithium acetate	134727
28	 2,A4	C4	0.1 M Sodium acetate pH 4.6	1.25 M Lithium acetate	134728
29	 2,A5	C5	0.1 M Sodium acetate pH 4.6	2.0 M Magnesium acetate	134729
30	 2,A6	C6	0.1 M Sodium acetate pH 4.6	1.0 M Magnesium acetate	134730
31	 2,B1	C7	0.1 M MES pH 6.5	4.5 M Ammonium acetate	134731
32	 2,B2	C8	0.1 M MES pH 6.5	2.25 M Ammonium acetate	134732
33	 2,B3	C9	0.1 M MES pH 6.5	2.5 M Lithium acetate	134733
34	 2,B4	C10	0.1 M MES pH 6.5	1.25 M Lithium acetate	134734
35	 2,B5	C11	0.1 M MES pH 6.5	2.0 M Magnesium acetate	134735
36	 2,B6	C12	0.1 M MES pH 6.5	1.0 M Magnesium acetate	134736
37	 2,C1	D1	0.1 M HEPES pH 7.5	4.5 M Ammonium acetate	134737
38	 2,C2	D2	0.1 M HEPES pH 7.5	2.25 M Ammonium acetate	134738
39	 2,C3	D3	0.1 M HEPES pH 7.5	2.5 M Lithium acetate	134739
