The MPD Suite Composition Table							
Number	"Plate number, well (24-well plates)"	"Well (96-well plates)"	Salt	Buffer 	Precipitant 1	Precipitant 2	"Cat. No.  (Refill-Hit Solution, 4 x 12,5 ml tubes)"
1	 1,A1	A1	0.2 M Cadmium chloride		40 %(v/v) MPD		134501
2	 1,A2	A2	0.2 M Potassium fluoride		40 %(v/v) MPD		134502
3	 1,A3	A3	0.2 M Ammonium fluoride		40 %(v/v) MPD		134503
4	 1,A4	A4	0.2 M Lithium chloride		40 %(v/v) MPD		134504
5	 1,A5	A5	0.2 M Magnesium chloride		40 %(v/v) MPD		134505
6	 1,A6	A6	0.2 M Sodium chloride		40 %(v/v) MPD		134506
7	 1,B1	A7	0.2 M Calcium chloride		40 %(v/v) MPD		134507
8	 1,B2	A8	0.2 M Potassium chloride		40 %(v/v) MPD		134508
9	 1,B3	A9	0.2 M Ammonium chloride		40 %(v/v) MPD		134509
10	 1,B4	A10	0.2 M Sodium iodide		40 %(v/v) MPD		134510
11	 1,B5	A11	0.2 M Potassium iodide		40 %(v/v) MPD		134511
12	 1,B6	A12	0.2 M Ammonium iodide		40 %(v/v) MPD		134512
13	 1,C1	B1	0.2 M Sodium thiocyanate		40 %(v/v) MPD		134513
14	 1,C2	B2	0.2 M Potassium thiocyanate		40 %(v/v) MPD		134514
15	 1,C3	B3	0.2 M Lithium nitrate		40 %(v/v) MPD		134515
16	 1,C4	B4	0.2 M Magnesium nitrate		40 %(v/v) MPD		134516
17	 1,C5	B5	0.2 M Sodium nitrate		40 %(v/v) MPD		134517
18	 1,C6	B6	0.2 M Potassium nitrate		40 %(v/v) MPD		134518
19	 1,D1	B7	0.2 M Ammonium nitrate		40 %(v/v) MPD		134519
20	 1,D2	B8	0.2 M Zinc sulfate		40 %(v/v) MPD		134520
21	 1,D3	B9	0.2 M Sodium formate		40 %(v/v) MPD		134521
22	 1,D4	B10	0.2 M Potassium formate		40 %(v/v) MPD		134522
23	 1,D5	B11	0.2 M Ammonium formate		40 %(v/v) MPD		134523
24	 1,D6	B12	0.2 M Lithium acetate		40 %(v/v) MPD		134524
25	 2,A1	C1	0.2 M Magnesium acetate		40 %(v/v) MPD		134525
26	 2,A2	C2	0.2 M Sodium malonate		40 %(v/v) MPD		134526
27	 2,A3	C3	0.2 M Sodium acetate 		40 %(v/v) MPD		134527
28	 2,A4	C4	0.2 M Calcium acetate		40 %(v/v) MPD		134528
29	 2,A5	C5	0.2 M Potassium acetate		40 %(v/v) MPD		134529
30	 2,A6	C6	0.2 M Ammonium acetate		40 %(v/v) MPD		134530
31	 2,B1	C7	0.2 M Lithium sulfate		40 %(v/v) MPD		134531
